category,timestamp,n_pkts,n_bits,n_drops,n_syn_pkts,n_ack_pkts,n_psh_pkts,n_rst_pkts,n_fin_pkts,n_ece_pkts,n_urg_pkts,n_cwr_pkts,n_tcp_payload_misbehaviour_drops,n_tcp_payload_misbehaviour_timeouts,n_out_of_order_drops,n_ssl_renegotiation_requests
InboundTCPMetrics,1685405081000,9,14248,0,3,8,4,7,4,0,0,0,0,0,0,0
InboundTCPMetrics,1685405081000,9,14248,0,3,8,4,7,4,0,0,0,0,0,0,0
InboundTCPMetrics,1685405081000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405091000,1,1272,0,2,1,5,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405091000,1,1272,0,2,1,5,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405091000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405101000,3,6016,0,2,3,1,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405101000,3,6016,0,2,3,1,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405111000,4,11088,0,4,4,1,1,4,0,0,0,0,0,0,0
InboundTCPMetrics,1685405111000,4,11088,0,4,4,1,1,4,0,0,0,0,0,0,0
InboundTCPMetrics,1685405111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405121000,1,1320,0,3,1,7,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405121000,1,1320,0,3,1,7,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405121000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405131000,1,3840,0,1,1,9,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405131000,1,3840,0,1,1,9,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405131000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
